Firm_Name,Type,Location,Website,Office_Contact,Portfolio_Examples,Investment_Focus
Bain Capital,PE,"Boston, MA",baincapital.com,+1 (617) 516-2000,Shopkick/BloomReach,"Retail, Software"
Carlyle Group,PE,"Washington, DC",carlyle.com,+1 (202) 729-5626,Supreme/Golden Goose,"Retail, D2C"
FirstMark Capital,VC,"New York, NY",firstmarkcap.com,info@firstmarkcap.com,Shopify/Airbnb,"Ecommerce, Marketplace"
Khosla Ventures,VC,"Menlo Park, CA",khoslaventures.com,info@khoslaventures.com,Instacart/Square,"AI, Marketplace"
Union Square Ventures,VC,"New York, NY",usv.com,info@usv.com,Etsy/Carta,"Marketplace, Software"
Benchmark,VC,"San Francisco, CA",benchmark.com,info@benchmark.com,eBay/Uber,"Marketplace, Platform"
CRV,VC,"Cambridge, MA",crv.com,+1 (617) 945-9600,Patreon/Drift,"Platform, AI"
Ribbit Capital,VC,"Palo Alto, CA",ribbitcap.com,info@ribbitcap.com,Affirm/Coinbase,"Fintech, Marketplace"
Emergence Capital,VC,"San Mateo, CA",emcap.com,+1 (650) 573-8700,Zoom/Bill.com,"SaaS, AI"
IVP,VC,"Menlo Park, CA",ivp.com,+1 (650) 543-1800,Snap/Discord,"Social, Platform"
FirstRound Capital,VC,"San Francisco, CA",firstround.com,info@firstround.com,Uber/Roblox,"Marketplace, Gaming"
Felicis Ventures,VC,"Menlo Park, CA",felicis.com,info@felicis.com,Shopify/Plaid,"Ecommerce, Fintech"
8VC,VC,"Austin, TX",8vc.com,info@8vc.com,Deliverr/Wish,"Logistics, Ecommerce"
Scale Venture Partners,VC,"Foster City, CA",scalevp.com,+1 (650) 378-6000,Box/DocuSign,"SaaS, AI"
Forerunner Ventures,VC,"San Francisco, CA",forerunnerventures.com,info@forerunnerventures.com,Glossier/Away,"D2C, Retail"
Norwest Venture Partners,VC,"Palo Alto, CA",nvp.com,+1 (650) 321-8000,Udemy/Opendoor,"Marketplace, Edtech"
Point72 Ventures,VC,"Stamford, CT",p72.vc,info@point72.com,Extend/dv01,"Fintech, AI"
Mayfield Fund,VC,"Menlo Park, CA",mayfield.com,+1 (650) 854-5560,Poshmark/Outreach,"Marketplace, SaaS"
Foundation Capital,VC,"Palo Alto, CA",foundationcap.com,+1 (650) 614-0500,Netflix/Lending Club,"Platform, Fintech"
New Enterprise Associates,VC,"Chevy Chase, MD",nea.com,+1 (301) 951-6122,Jet/Groupon,"Ecommerce, Platform"
Sapphire Ventures,VC,"Palo Alto, CA",sapphireventures.com,+1 (650) 849-9600,Square/DocuSign,"Fintech, SaaS"
Redpoint Ventures,VC,"Menlo Park, CA",redpoint.com,info@redpoint.com,Stripe/Netflix,"Fintech, Platform"
Spark Capital,VC,"Boston, MA",sparkcapital.com,info@sparkcapital.com,Discord/Wayfair,"Platform, Ecommerce"
Greycroft,VC,"New York, NY",greycroft.com,info@greycroft.com,Goop/Plated,"D2C, Marketplace"
Revolution Growth,PE,"Washington, DC",revolution.com,info@revolution.com,Sweetgreen/DraftKings,"D2C, Platform"
Permira,PE,"London, UK",permira.com,+44 20 7632 1000,Allegro/Klarna,"Marketplace, Fintech"
Technology Crossover Ventures,PE,"Menlo Park, CA",tcv.com,+1 (650) 614-8200,Netflix/Spotify,"Platform, Software"
Balderton Capital,VC,"London, UK",balderton.com,info@balderton.com,Depop/GoCardless,"Marketplace, Fintech"
Atomico,VC,"London, UK",atomico.com,info@atomico.com,Klarna/MessageBird,"Fintech, SaaS"
Wellington Management,PE,"Boston, MA",wellington.com,+1 (617) 951-5000,Airbnb/Affirm,"Platform, Fintech"
Dragoneer Investment Group,PE,"San Francisco, CA",dragoneer.com,info@dragoneer.com,Uber/DoorDash,"Marketplace, Platform"
Hillhouse Capital,PE,"Beijing, China",hillhousecap.com,info@hillhousecap.com,JD/Meituan,"Ecommerce, Platform"
Tencent Investment,PE,"Shenzhen, China",tencent.com,ir@tencent.com,Pinduoduo/Sea,"Gaming, Ecommerce"
Fidelity Management,PE,"Boston, MA",fidelity.com,+1 (617) 563-7000,Stripe/ByteDance,"Fintech, Platform"
